#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
01.10.13;19:15:00;1;1;15000;6;0;0;1;251;252;29
01.10.13;19:10:00;1;6;15000;6;0;3;4;285;285;29
01.10.13;19:05:00;1;17;15000;6;0;9;10;417;403;29
01.10.13;19:00:00;1;38;15000;6;0;20;21;449;432;29
01.10.13;18:55:00;1;53;15000;6;0;28;29;472;448;29
01.10.13;18:50:00;1;91;15000;6;0;49;48;501;475;29
01.10.13;18:45:00;1;103;15000;6;0;55;54;510;481;29
01.10.13;18:40:00;1;154;15000;6;0;84;79;532;498;29
01.10.13;18:35:00;1;239;15000;6;0;128;124;549;514;29
01.10.13;18:30:00;1;312;15000;6;0;169;160;555;524;29
01.10.13;18:25:00;1;361;15000;6;0;196;184;560;529;29
01.10.13;18:20:00;1;405;14000;6;0;223;206;564;532;30
01.10.13;18:15:00;1;407;14000;6;0;223;208;563;531;30
01.10.13;18:10:00;1;426;14000;6;0;232;218;564;530;30
01.10.13;18:05:00;1;511;14000;6;0;275;255;568;536;30
01.10.13;18:00:00;1;557;14000;6;0;303;285;570;538;30
01.10.13;17:55:00;1;590;14000;6;0;322;301;571;539;30
01.10.13;17:50:00;1;681;14000;6;0;373;347;572;544;30
01.10.13;17:45:00;1;678;14000;6;0;374;344;574;543;30
01.10.13;17:40:00;1;776;14000;6;0;428;393;574;545;30
01.10.13;17:35:00;1;795;14000;6;0;433;410;578;548;30
01.10.13;17:30:00;1;773;14000;6;0;426;390;573;542;30
01.10.13;17:25:00;1;743;14000;6;0;411;375;572;541;30
01.10.13;17:20:00;1;803;14000;6;0;444;406;573;542;30
01.10.13;17:15:00;1;932;14000;6;0;509;474;576;543;31
01.10.13;17:10:00;1;1070;14000;6;0;586;540;577;545;31
01.10.13;17:05:00;1;1030;14000;6;0;571;519;576;545;31
01.10.13;17:00:00;1;1011;13000;6;0;550;505;577;545;31
01.10.13;16:55:00;1;1044;13000;6;0;572;533;579;548;31
01.10.13;16:50:00;1;1161;13000;6;0;626;592;579;549;31
01.10.13;16:45:00;1;1144;13000;6;0;613;570;579;549;31
01.10.13;16:40:00;1;1084;13000;6;0;581;547;579;546;31
01.10.13;16:35:00;1;1306;13000;6;0;699;658;582;549;31
01.10.13;16:30:00;1;1507;13000;6;0;802;751;584;553;31
01.10.13;16:25:00;1;1682;13000;6;0;879;827;588;555;31
01.10.13;16:20:00;1;1618;13000;6;0;846;788;589;555;31
01.10.13;16:15:00;1;1627;12000;6;0;851;791;589;554;31
01.10.13;16:10:00;1;1603;12000;6;0;844;783;588;555;31
01.10.13;16:05:00;1;1358;12000;6;0;721;668;586;552;31
01.10.13;16:00:00;1;1362;12000;6;0;713;670;587;549;31
01.10.13;15:55:00;1;1431;12000;6;0;753;712;586;551;32
01.10.13;15:50:00;1;1450;12000;6;0;768;739;583;548;32
01.10.13;15:45:00;1;1417;12000;6;0;758;721;581;546;32
01.10.13;15:40:00;1;1543;12000;6;0;809;772;583;547;32
01.10.13;15:35:00;1;1551;11000;6;0;823;780;583;546;32
01.10.13;15:30:00;1;1668;11000;6;0;880;833;583;545;32
01.10.13;15:25:00;1;2414;11000;6;0;1248;1192;585;550;32
01.10.13;15:20:00;1;3007;11000;6;0;1546;1496;584;556;32
01.10.13;15:15:00;1;2988;11000;6;0;1548;1481;591;559;32
01.10.13;15:10:00;1;2418;11000;6;0;1265;1189;593;559;32
01.10.13;15:05:00;1;2276;10000;6;0;1186;1143;608;568;31
01.10.13;15:00:00;1;2530;10000;6;0;1326;1245;596;559;32
01.10.13;14:55:00;1;2153;10000;6;0;1131;1055;594;557;31
01.10.13;14:50:00;1;2073;10000;6;0;1087;1012;592;557;31
01.10.13;14:45:00;1;1935;10000;6;0;1015;946;591;556;31
01.10.13;14:40:00;1;1664;9000;6;0;870;817;587;553;31
01.10.13;14:35:00;1;1399;9000;6;0;741;693;583;549;31
01.10.13;14:30:00;1;1452;9000;6;0;766;722;584;551;31
01.10.13;14:25:00;1;1571;9000;6;0;814;773;588;551;31
01.10.13;14:20:00;1;1668;9000;6;0;865;823;588;550;31
01.10.13;14:15:00;1;1762;9000;6;0;914;868;587;552;32
01.10.13;14:10:00;1;1762;9000;6;0;913;872;586;553;32
01.10.13;14:05:00;1;1955;8000;6;0;1018;961;587;554;32
01.10.13;14:00:00;1;2107;8000;6;0;1094;1029;589;555;32
01.10.13;13:55:00;1;2261;8000;6;0;1179;1107;590;555;32
01.10.13;13:50:00;1;2529;8000;6;0;1321;1242;593;556;32
01.10.13;13:45:00;1;2731;8000;6;0;1424;1350;594;557;32
01.10.13;13:40:00;1;2707;7000;6;0;1418;1332;596;559;32
01.10.13;13:35:00;1;2504;7000;6;0;1311;1230;594;558;32
01.10.13;13:30:00;1;2413;7000;6;0;1263;1185;594;558;32
01.10.13;13:25:00;1;2282;7000;6;0;1195;1118;593;558;32
01.10.13;13:20:00;1;2615;7000;6;0;1366;1291;598;558;32
01.10.13;13:15:00;1;2292;6000;6;0;1199;1132;594;557;31
01.10.13;13:10:00;1;2412;6000;6;0;1247;1192;590;555;31
01.10.13;13:05:00;1;2131;6000;6;0;1099;1056;589;553;31
01.10.13;13:00:00;1;1920;6000;6;0;988;951;587;551;31
01.10.13;12:55:00;1;2030;6000;6;0;1057;999;592;554;31
01.10.13;12:50:00;1;1837;6000;6;0;957;898;588;556;31
01.10.13;12:45:00;1;1874;5000;6;0;976;915;590;557;31
01.10.13;12:40:00;1;1962;5000;6;0;1024;963;591;558;31
01.10.13;12:35:00;1;1774;5000;6;0;929;866;589;555;31
01.10.13;12:30:00;1;1989;5000;6;0;1036;974;592;556;31
01.10.13;12:25:00;1;2164;5000;6;0;1118;1065;589;554;31
01.10.13;12:20:00;1;2101;5000;6;0;1091;1032;592;556;31
01.10.13;12:15:00;1;2036;4000;6;0;1059;997;590;556;31
01.10.13;12:10:00;1;2095;4000;6;0;1093;1029;592;555;31
01.10.13;12:05:00;1;1898;4000;6;0;1021;938;613;575;31
01.10.13;12:00:00;1;2811;4000;6;0;1460;1392;592;560;31
01.10.13;11:55:00;1;2659;4000;6;0;1382;1316;594;564;30
01.10.13;11:50:00;1;1756;3000;6;0;912;863;591;557;30
01.10.13;11:45:00;1;1462;3000;6;0;766;719;589;554;30
01.10.13;11:40:00;1;1504;3000;6;0;782;739;590;555;30
01.10.13;11:35:00;1;1297;3000;6;0;677;637;585;552;30
01.10.13;11:30:00;1;1750;3000;6;0;913;856;592;559;30
01.10.13;11:25:00;1;1760;3000;6;0;917;864;593;559;30
