#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
29.09.13;19:10:00;1;0;16000;6;0;0;1;251;249;29
29.09.13;19:05:00;1;4;16000;6;0;2;3;269;275;29
29.09.13;19:00:00;1;13;16000;6;0;6;8;325;336;29
29.09.13;18:55:00;1;19;16000;6;0;10;11;315;321;29
29.09.13;18:50:00;1;27;16000;6;0;14;15;327;318;29
29.09.13;18:45:00;1;41;16000;6;0;22;22;454;406;29
29.09.13;18:40:00;1;49;16000;6;0;31;22;460;368;29
29.09.13;18:35:00;1;49;16000;6;0;29;24;453;337;29
29.09.13;18:30:00;1;54;16000;6;0;29;30;467;451;29
29.09.13;18:25:00;1;55;16000;6;0;29;31;473;453;29
29.09.13;18:20:00;1;60;16000;6;0;33;32;480;456;29
29.09.13;18:15:00;1;67;16000;6;0;37;36;486;463;29
29.09.13;18:10:00;1;78;16000;6;0;42;42;489;466;29
29.09.13;18:05:00;1;76;16000;6;0;41;41;492;466;29
29.09.13;18:00:00;1;93;16000;6;0;50;50;501;475;29
29.09.13;17:55:00;1;94;16000;6;0;51;51;503;476;29
29.09.13;17:50:00;1;113;16000;6;0;61;59;514;486;29
29.09.13;17:45:00;1;124;16000;6;0;67;65;518;488;29
29.09.13;17:40:00;1;129;16000;6;0;70;67;520;490;29
29.09.13;17:35:00;1;143;16000;6;0;78;75;524;493;30
29.09.13;17:30:00;1;156;16000;6;0;85;81;529;497;30
29.09.13;17:25:00;1;169;16000;6;0;93;88;533;499;30
29.09.13;17:20:00;1;197;16000;6;0;110;101;540;506;30
29.09.13;17:15:00;1;224;16000;6;0;121;117;545;510;30
29.09.13;17:10:00;1;246;16000;6;0;134;128;547;513;30
29.09.13;17:05:00;1;277;16000;6;0;151;143;551;516;30
29.09.13;17:00:00;1;290;16000;6;0;159;148;552;518;30
29.09.13;16:55:00;1;316;16000;6;0;172;163;554;519;30
29.09.13;16:50:00;1;378;16000;6;0;204;196;560;525;30
29.09.13;16:45:00;1;426;16000;6;0;231;220;564;528;30
29.09.13;16:40:00;1;411;16000;6;0;221;214;563;527;30
29.09.13;16:35:00;1;418;16000;6;0;227;216;564;528;30
29.09.13;16:30:00;1;465;16000;6;0;253;239;567;530;30
29.09.13;16:25:00;1;475;16000;6;0;259;244;567;530;30
29.09.13;16:20:00;1;564;16000;6;0;304;289;570;534;30
29.09.13;16:15:00;1;578;16000;6;0;314;298;572;534;30
29.09.13;16:10:00;1;566;16000;6;0;307;292;570;533;30
29.09.13;16:05:00;1;603;16000;6;0;328;310;571;535;30
29.09.13;16:00:00;1;657;16000;6;0;357;338;574;537;31
29.09.13;15:55:00;1;697;16000;6;0;379;359;575;539;31
29.09.13;15:50:00;1;730;15000;6;0;398;374;575;539;31
29.09.13;15:45:00;1;834;15000;6;0;456;427;578;542;31
29.09.13;15:40:00;1;839;15000;6;0;459;429;577;542;31
29.09.13;15:35:00;1;846;15000;6;0;462;433;577;543;31
29.09.13;15:30:00;1;842;15000;6;0;459;433;578;542;31
29.09.13;15:25:00;1;884;15000;6;0;482;454;579;543;31
29.09.13;15:20:00;1;866;15000;6;0;472;444;579;541;31
29.09.13;15:15:00;1;763;15000;6;0;418;390;575;539;31
29.09.13;15:10:00;1;747;15000;6;0;406;385;575;537;31
29.09.13;15:05:00;1;796;15000;6;0;437;406;581;542;31
29.09.13;15:00:00;1;846;15000;6;0;460;436;577;538;32
29.09.13;14:55:00;1;883;15000;6;0;477;457;577;539;32
29.09.13;14:50:00;1;1032;15000;6;0;561;531;582;542;32
29.09.13;14:45:00;1;1028;15000;6;0;559;529;582;541;32
29.09.13;14:40:00;1;1156;14000;6;0;623;593;584;544;32
29.09.13;14:35:00;1;1130;14000;6;0;616;580;581;543;32
29.09.13;14:30:00;1;1491;14000;6;0;779;740;587;548;33
29.09.13;14:25:00;1;1573;14000;6;0;822;780;588;548;33
29.09.13;14:20:00;1;1572;14000;6;0;831;791;588;548;33
29.09.13;14:15:00;1;1872;14000;6;0;982;920;588;553;33
29.09.13;14:10:00;1;2088;14000;6;0;1090;1017;592;555;33
29.09.13;14:05:00;1;2082;13000;6;0;1084;1019;592;553;33
29.09.13;14:00:00;1;2183;13000;6;0;1132;1072;594;553;33
29.09.13;13:55:00;1;2304;13000;6;0;1194;1130;593;554;34
29.09.13;13:50:00;1;2408;13000;6;0;1256;1175;594;557;34
29.09.13;13:45:00;1;2211;13000;6;0;1151;1083;593;555;34
29.09.13;13:40:00;1;2156;13000;6;0;1124;1049;590;554;34
29.09.13;13:35:00;1;2926;12000;6;0;1536;1433;597;560;34
29.09.13;13:30:00;1;2976;12000;6;0;1561;1457;598;563;34
29.09.13;13:25:00;1;2752;12000;6;0;1447;1347;598;562;34
29.09.13;13:20:00;1;2385;12000;6;0;1246;1171;596;557;34
29.09.13;13:15:00;1;2446;11000;6;0;1275;1206;596;557;34
29.09.13;13:10:00;1;2420;11000;6;0;1257;1192;595;557;33
29.09.13;13:05:00;1;1841;11000;6;0;956;900;591;555;33
29.09.13;13:00:00;1;1719;11000;6;0;899;843;589;554;34
29.09.13;12:55:00;1;1731;11000;6;0;906;856;588;552;34
29.09.13;12:50:00;1;1749;11000;6;0;937;884;583;553;34
29.09.13;12:45:00;1;2198;10000;6;0;1147;1086;590;553;34
29.09.13;12:40:00;1;2321;10000;6;0;1206;1135;589;553;35
29.09.13;12:35:00;1;2635;10000;6;0;1372;1297;591;553;35
29.09.13;12:30:00;1;3019;10000;6;0;1571;1482;587;552;35
29.09.13;12:25:00;1;4186;10000;6;0;2166;2075;588;554;36
29.09.13;12:20:00;1;4056;9000;6;0;2094;2015;589;552;36
29.09.13;12:15:00;1;4787;9000;6;0;2470;2385;589;554;36
29.09.13;12:10:00;1;4156;9000;6;0;2155;2066;593;557;35
29.09.13;12:05:00;1;3537;8000;6;0;1864;1741;600;566;35
29.09.13;12:00:00;1;4285;8000;6;0;2229;2124;597;560;35
29.09.13;11:55:00;1;3242;8000;6;0;1691;1598;595;556;34
29.09.13;11:50:00;1;3581;7000;6;0;1869;1775;601;560;34
29.09.13;11:45:00;1;3269;7000;6;0;1708;1620;601;560;34
29.09.13;11:40:00;1;2629;7000;6;0;1370;1297;596;556;33
29.09.13;11:35:00;1;2887;6000;6;0;1510;1424;599;559;33
29.09.13;11:30:00;1;1987;6000;6;0;1037;975;591;553;33
29.09.13;11:25:00;1;1854;6000;6;0;974;917;587;550;33
29.09.13;11:20:00;1;2225;6000;6;0;1162;1091;588;552;34
29.09.13;11:15:00;1;3366;6000;6;0;1742;1661;592;553;34
29.09.13;11:10:00;1;4294;5000;6;0;2219;2131;591;555;34
29.09.13;11:05:00;1;3493;5000;6;0;1804;1724;591;555;34
29.09.13;11:00:00;1;3341;5000;6;0;1728;1651;592;556;33
29.09.13;10:55:00;1;2893;5000;6;0;1504;1431;594;555;33
29.09.13;10:50:00;1;2603;4000;6;0;1351;1288;595;553;33
29.09.13;10:45:00;1;3368;4000;6;0;1752;1667;598;557;33
29.09.13;10:40:00;1;2972;4000;6;0;1545;1470;596;556;32
29.09.13;10:35:00;1;2816;4000;6;0;1462;1389;592;555;32
29.09.13;10:30:00;1;2580;3000;6;0;1332;1273;589;552;32
29.09.13;10:25:00;1;2776;3000;6;0;1443;1366;594;556;32
29.09.13;10:20:00;1;2609;3000;6;0;1348;1288;591;554;32
29.09.13;10:15:00;1;2241;3000;6;0;1159;1107;591;550;32
29.09.13;10:10:00;1;2598;2000;6;0;1351;1287;596;555;32
29.09.13;10:05:00;1;2973;2000;6;0;1546;1477;598;556;31
29.09.13;10:00:00;1;2478;2000;6;0;1281;1226;594;555;31
29.09.13;09:55:00;1;2617;2000;6;0;1358;1298;597;557;30
29.09.13;09:50:00;1;1730;2000;6;0;903;863;589;552;30
29.09.13;09:45:00;1;1517;1000;6;0;803;757;591;554;30
29.09.13;09:40:00;1;1629;1000;6;0;856;801;592;555;29
29.09.13;09:35:00;1;1021;1000;6;0;551;517;581;544;29
29.09.13;09:30:00;1;875;1000;6;0;477;449;578;541;29
29.09.13;09:25:00;1;1164;1000;6;0;629;599;585;546;29
29.09.13;09:20:00;1;1154;1000;6;0;621;590;586;546;29
29.09.13;09:15:00;1;1245;1000;6;0;655;621;589;549;28
29.09.13;09:10:00;1;1547;1000;6;0;802;766;594;554;28
29.09.13;09:05:00;1;987;1000;6;0;516;494;588;546;28
29.09.13;09:00:00;1;730;0;6;0;391;377;579;540;27
29.09.13;08:55:00;1;671;0;6;0;365;345;576;538;27
29.09.13;08:50:00;1;720;0;6;0;388;373;578;539;27
29.09.13;08:45:00;1;703;0;6;0;382;362;577;539;27
29.09.13;08:40:00;1;702;0;6;0;381;361;578;539;26
29.09.13;08:35:00;1;726;0;6;0;395;374;579;541;26
29.09.13;08:30:00;1;690;0;6;0;373;357;579;540;26
29.09.13;08:25:00;1;708;0;6;0;381;363;582;541;26
29.09.13;08:20:00;1;652;0;6;0;354;336;579;540;25
29.09.13;08:15:00;1;556;0;6;0;300;289;575;537;25
29.09.13;08:10:00;1;449;0;6;0;245;231;569;533;24
29.09.13;08:05:00;1;351;0;6;0;190;181;560;526;24
29.09.13;08:00:00;1;254;0;6;0;138;132;551;516;24
29.09.13;07:55:00;1;191;0;6;0;105;99;536;504;23
29.09.13;07:50:00;1;132;0;6;0;72;71;512;482;23
29.09.13;07:45:00;1;80;0;6;0;41;45;429;420;22
29.09.13;07:40:00;1;39;0;6;0;21;22;328;327;22
29.09.13;07:35:00;1;14;0;6;0;10;11;311;311;21
29.09.13;07:30:00;1;0;0;4;0;4;4;351;351;20
