#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
02.10.13;19:15:00;1;3;37000;6;0;2;2;261;267;29
02.10.13;19:10:00;1;9;37000;6;0;4;6;263;265;30
02.10.13;19:05:00;1;25;37000;6;0;13;14;436;415;30
02.10.13;19:00:00;1;64;37000;6;0;33;35;492;469;30
02.10.13;18:55:00;1;117;37000;6;0;64;61;516;491;30
02.10.13;18:50:00;1;178;37000;6;0;98;90;531;500;30
02.10.13;18:45:00;1;234;37000;6;0;129;115;543;495;30
02.10.13;18:40:00;1;310;37000;6;0;172;154;547;500;31
02.10.13;18:35:00;1;472;37000;6;0;250;239;527;510;31
02.10.13;18:30:00;1;739;37000;6;0;395;378;523;521;31
02.10.13;18:25:00;1;1044;37000;6;0;551;541;527;523;32
02.10.13;18:20:00;1;825;37000;6;0;446;427;551;519;32
02.10.13;18:15:00;1;1172;37000;6;0;630;610;541;523;32
02.10.13;18:10:00;1;1141;36000;6;0;610;594;539;524;32
02.10.13;18:05:00;1;977;36000;6;0;541;503;581;532;32
02.10.13;18:00:00;1;1210;36000;6;0;667;613;571;522;33
02.10.13;17:55:00;1;2195;36000;6;0;1147;1122;537;525;33
02.10.13;17:50:00;1;1834;36000;6;0;965;937;554;523;33
02.10.13;17:45:00;1;2172;36000;6;0;1149;1096;556;522;34
02.10.13;17:40:00;1;3224;36000;6;0;1656;1624;541;530;34
02.10.13;17:35:00;1;3315;35000;6;0;1687;1677;552;539;34
02.10.13;17:30:00;1;3431;35000;6;0;1748;1737;560;557;34
02.10.13;17:25:00;1;2660;35000;6;0;1373;1348;568;559;34
02.10.13;17:20:00;1;2318;35000;6;0;1206;1193;572;560;34
02.10.13;17:15:00;1;1773;34000;6;0;943;911;566;555;34
02.10.13;17:10:00;1;1878;34000;6;0;972;956;570;554;34
02.10.13;17:05:00;1;2109;34000;6;0;1102;1071;580;559;34
02.10.13;17:00:00;1;2485;34000;6;0;1289;1257;577;561;35
02.10.13;16:55:00;1;3047;34000;6;0;1555;1544;578;562;35
02.10.13;16:50:00;1;2127;33000;6;0;1103;1059;585;560;35
02.10.13;16:45:00;1;2490;33000;6;0;1289;1262;579;560;35
02.10.13;16:40:00;1;1884;33000;6;0;995;978;570;556;36
02.10.13;16:35:00;1;1823;33000;6;0;957;941;566;551;36
02.10.13;16:30:00;1;2609;33000;6;0;1316;1333;553;546;37
02.10.13;16:25:00;1;5246;32000;6;0;2618;2675;553;549;38
02.10.13;16:20:00;1;6091;32000;6;0;3039;3127;550;553;39
02.10.13;16:15:00;1;3938;32000;6;0;1960;2011;567;555;38
02.10.13;16:10:00;1;4376;31000;6;0;2192;2246;555;552;39
02.10.13;16:05:00;1;4899;31000;6;0;2432;2516;552;550;39
02.10.13;16:00:00;1;4963;30000;6;0;2500;2543;549;549;39
02.10.13;15:55:00;1;5857;30000;6;0;2926;2995;547;546;39
02.10.13;15:50:00;1;5700;30000;6;0;2847;2927;543;542;40
02.10.13;15:45:00;1;7974;29000;6;0;3970;4155;535;543;41
02.10.13;15:40:00;1;7722;28000;6;0;3817;4024;525;549;40
02.10.13;15:35:00;1;7581;28000;6;0;3755;3951;533;551;39
02.10.13;15:30:00;1;6304;27000;6;0;3133;3256;545;555;38
02.10.13;15:25:00;1;5214;27000;6;0;2598;2683;565;559;37
02.10.13;15:20:00;1;4380;26000;6;0;2198;2254;579;560;37
02.10.13;15:15:00;1;3847;26000;6;0;1959;1934;585;560;37
02.10.13;15:10:00;1;3501;25000;6;0;1801;1743;585;559;37
02.10.13;15:05:00;1;3122;25000;6;0;1664;1506;596;571;37
02.10.13;15:00:00;1;4133;25000;6;0;2105;2076;584;558;38
02.10.13;14:55:00;1;4938;25000;6;0;2489;2500;577;557;38
02.10.13;14:50:00;1;4514;24000;6;0;2310;2266;586;559;38
02.10.13;14:45:00;1;4187;24000;6;0;2123;2089;575;555;39
02.10.13;14:40:00;1;5215;23000;6;0;2624;2633;566;552;39
02.10.13;14:35:00;1;5652;23000;6;0;2846;2875;575;551;40
02.10.13;14:30:00;1;6595;23000;6;0;3317;3385;567;552;41
02.10.13;14:25:00;1;6854;22000;6;0;3467;3492;572;550;40
02.10.13;14:20:00;1;7184;21000;6;0;3704;3617;561;547;41
02.10.13;14:15:00;1;7710;21000;6;0;3917;3898;572;554;40
02.10.13;14:10:00;1;6505;20000;6;0;3316;3303;580;554;39
02.10.13;14:05:00;1;6036;20000;6;0;3074;3056;586;553;39
02.10.13;14:00:00;1;5776;19000;6;0;2945;2906;581;554;39
02.10.13;13:55:00;1;6537;19000;6;0;3348;3299;588;562;38
02.10.13;13:50:00;1;5103;18000;6;0;2629;2543;589;557;38
02.10.13;13:45:00;1;4901;18000;6;0;2531;2455;591;558;38
02.10.13;13:40:00;1;4865;17000;6;0;2504;2432;587;557;38
02.10.13;13:35:00;1;4898;17000;6;0;2524;2451;588;555;38
02.10.13;13:30:00;1;5953;16000;6;0;3072;2976;584;556;39
02.10.13;13:25:00;1;6030;16000;6;0;3096;3034;589;557;39
02.10.13;13:20:00;1;5793;15000;6;0;2985;2910;588;557;38
02.10.13;13:15:00;1;5853;15000;6;0;3010;2939;589;554;38
02.10.13;13:10:00;1;6115;14000;6;0;3145;3074;587;557;38
02.10.13;13:05:00;1;6124;14000;6;0;3163;3066;585;554;38
02.10.13;13:00:00;1;5848;13000;6;0;3010;2931;585;554;38
02.10.13;12:55:00;1;5562;13000;6;0;2859;2791;591;554;38
02.10.13;12:50:00;1;5806;13000;6;0;2992;2900;585;554;37
02.10.13;12:45:00;1;5461;12000;6;0;2820;2730;589;554;37
02.10.13;12:40:00;1;5796;12000;6;0;2983;2904;586;553;37
02.10.13;12:35:00;1;6391;11000;6;0;3312;3198;588;558;36
02.10.13;12:30:00;1;5348;11000;6;0;2776;2665;593;559;36
02.10.13;12:25:00;1;4963;10000;6;0;2575;2491;599;560;35
02.10.13;12:20:00;1;4732;10000;6;0;2462;2353;600;559;35
02.10.13;12:15:00;1;4918;9000;6;0;2563;2451;601;560;35
02.10.13;12:10:00;1;4808;9000;6;0;2494;2408;599;562;34
02.10.13;12:05:00;1;2790;9000;6;0;1526;1352;614;581;33
02.10.13;12:00:00;1;2734;8000;6;0;1420;1353;591;558;33
02.10.13;11:55:00;1;2753;8000;6;0;1437;1364;598;557;33
02.10.13;11:50:00;1;3418;8000;6;0;1790;1698;602;559;34
02.10.13;11:45:00;1;4170;8000;6;0;2177;2072;604;564;34
02.10.13;11:40:00;1;3837;7000;6;0;2008;1904;602;565;34
02.10.13;11:35:00;1;3852;7000;6;0;2020;1910;607;565;34
02.10.13;11:30:00;1;4165;7000;6;0;2168;2077;604;566;33
02.10.13;11:25:00;1;3994;6000;6;0;2091;1986;607;566;33
02.10.13;11:20:00;1;3378;6000;6;0;1764;1678;600;565;32
02.10.13;11:15:00;1;3291;6000;6;0;1718;1636;602;564;32
02.10.13;11:10:00;1;3082;5000;6;0;1614;1528;608;566;32
02.10.13;11:05:00;1;2582;5000;6;0;1385;1272;613;572;32
02.10.13;11:00:00;1;2548;5000;6;0;1329;1266;601;564;32
02.10.13;10:55:00;1;2394;5000;6;0;1244;1187;597;563;32
02.10.13;10:50:00;1;2147;4000;6;0;1117;1066;600;559;32
