#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
28.09.13;19:20:00;1;3;37000;6;0;2;1;253;254;32
28.09.13;19:15:00;1;5;37000;6;0;2;3;257;255;32
28.09.13;19:10:00;1;16;37000;6;0;9;9;423;400;32
28.09.13;19:05:00;1;40;37000;6;0;21;22;465;441;32
28.09.13;19:00:00;1;82;37000;6;0;44;45;495;469;32
28.09.13;18:55:00;1;135;37000;6;0;75;70;521;492;32
28.09.13;18:50:00;1;208;37000;6;0;111;109;531;505;33
28.09.13;18:45:00;1;266;37000;6;0;146;137;540;512;33
28.09.13;18:40:00;1;327;37000;6;0;179;165;545;515;33
28.09.13;18:35:00;1;381;37000;6;0;212;191;549;519;33
28.09.13;18:30:00;1;416;37000;6;0;230;211;552;520;34
28.09.13;18:25:00;1;453;37000;6;0;248;231;543;509;34
28.09.13;18:20:00;1;525;36000;6;0;292;264;548;504;34
28.09.13;18:15:00;1;635;36000;6;0;347;324;542;505;35
28.09.13;18:10:00;1;855;36000;6;0;467;437;545;508;35
28.09.13;18:05:00;1;1224;36000;6;0;664;631;535;500;36
28.09.13;18:00:00;1;1704;36000;6;0;914;877;531;502;37
28.09.13;17:55:00;1;2396;36000;6;0;1268;1227;527;505;37
28.09.13;17:50:00;1;2617;36000;6;0;1379;1338;526;511;38
28.09.13;17:45:00;1;3117;36000;6;0;1615;1580;519;513;38
28.09.13;17:40:00;1;3349;35000;6;0;1724;1693;518;521;39
28.09.13;17:35:00;1;3843;35000;6;0;1959;1943;519;527;39
28.09.13;17:30:00;1;3942;35000;6;0;1978;1995;521;543;39
28.09.13;17:25:00;1;3715;34000;6;0;1885;1888;535;547;39
28.09.13;17:20:00;1;4259;34000;6;0;2146;2183;525;549;40
28.09.13;17:15:00;1;4759;34000;6;0;2373;2440;516;545;41
28.09.13;17:10:00;1;5554;33000;6;0;2766;2835;522;543;41
28.09.13;17:05:00;1;6334;33000;6;0;3172;3225;525;541;42
28.09.13;17:00:00;1;6938;32000;6;0;3478;3542;530;540;42
28.09.13;16:55:00;1;6075;32000;6;0;3051;3084;535;541;41
28.09.13;16:50:00;1;7496;31000;6;0;3759;3824;537;543;41
28.09.13;16:45:00;1;6824;31000;6;0;3424;3486;543;551;40
28.09.13;16:40:00;1;4885;30000;6;0;2456;2493;550;556;38
28.09.13;16:35:00;1;2841;30000;6;0;1481;1465;567;552;38
28.09.13;16:30:00;1;2391;29000;6;0;1272;1243;568;547;38
28.09.13;16:25:00;1;3032;29000;6;0;1579;1566;561;544;39
28.09.13;16:20:00;1;4218;29000;6;0;2128;2143;554;542;40
28.09.13;16:15:00;1;5146;29000;6;0;2574;2622;552;543;40
28.09.13;16:10:00;1;5012;28000;6;0;2506;2551;554;545;40
28.09.13;16:05:00;1;4269;28000;6;0;2144;2147;559;544;40
28.09.13;16:00:00;1;4677;27000;6;0;2359;2390;553;540;40
28.09.13;15:55:00;1;5494;27000;6;0;2734;2814;552;540;41
28.09.13;15:50:00;1;5512;27000;6;0;2744;2831;541;541;41
28.09.13;15:45:00;1;4986;26000;6;0;2482;2558;553;542;41
28.09.13;15:40:00;1;4550;26000;6;0;2245;2328;540;541;41
28.09.13;15:35:00;1;4328;25000;6;0;2153;2235;546;540;41
28.09.13;15:30:00;1;3880;25000;6;0;1938;1992;542;536;41
28.09.13;15:25:00;1;4524;25000;6;0;2251;2350;524;532;42
28.09.13;15:20:00;1;5460;24000;6;0;2684;2821;506;529;43
28.09.13;15:15:00;1;6578;24000;6;0;3248;3409;505;527;44
28.09.13;15:10:00;1;8276;23000;6;0;4087;4308;511;529;45
28.09.13;15:05:00;1;6852;22000;6;0;3438;3534;534;547;43
28.09.13;15:00:00;1;5784;22000;6;0;2842;2990;520;528;43
28.09.13;14:55:00;1;7105;21000;6;0;3530;3673;517;525;44
28.09.13;14:50:00;1;7793;21000;6;0;3880;4023;519;522;45
28.09.13;14:45:00;1;9186;20000;6;0;4606;4718;518;524;45
28.09.13;14:40:00;1;9396;19000;6;0;4733;4821;523;531;44
28.09.13;14:35:00;1;6592;19000;6;0;3308;3352;536;531;43
28.09.13;14:30:00;1;8072;18000;6;0;4070;4122;543;532;43
28.09.13;14:25:00;1;7625;17000;6;0;3869;3883;544;531;43
28.09.13;14:20:00;1;8138;17000;6;0;4144;4114;547;534;42
28.09.13;14:15:00;1;8654;16000;6;0;4424;4349;555;539;42
28.09.13;14:10:00;1;6207;15000;6;0;3162;3107;560;540;40
28.09.13;14:05:00;1;7038;15000;6;0;3585;3531;562;539;40
28.09.13;14:00:00;1;6085;14000;6;0;3088;3058;564;540;39
28.09.13;13:55:00;1;7141;14000;6;0;3636;3600;568;543;39
28.09.13;13:50:00;1;6405;13000;6;0;3260;3212;574;544;39
28.09.13;13:45:00;1;5229;13000;6;0;2673;2615;580;549;37
28.09.13;13:40:00;1;3927;12000;6;0;2016;1943;581;547;36
28.09.13;13:35:00;1;3476;12000;6;0;1795;1718;578;546;36
28.09.13;13:30:00;1;3575;12000;6;0;1855;1801;572;545;37
28.09.13;13:25:00;1;4679;11000;6;0;2413;2345;580;547;37
28.09.13;13:20:00;1;4654;11000;6;0;2390;2292;575;546;37
28.09.13;13:15:00;1;4422;11000;6;0;2285;2182;579;545;37
28.09.13;13:10:00;1;4725;10000;6;0;2435;2338;579;545;37
28.09.13;13:05:00;1;4986;10000;6;0;2640;2463;594;557;37
28.09.13;13:00:00;1;6639;9000;6;0;3427;3312;583;550;37
28.09.13;12:55:00;1;6030;9000;6;0;3107;3003;585;554;36
28.09.13;12:50:00;1;4412;8000;6;0;2279;2200;593;555;34
28.09.13;12:45:00;1;3552;8000;6;0;1836;1754;586;555;34
28.09.13;12:40:00;1;3150;8000;6;0;1626;1542;583;555;34
28.09.13;12:35:00;1;2918;7000;6;0;1509;1438;585;554;33
28.09.13;12:30:00;1;2801;7000;6;0;1442;1373;584;554;33
28.09.13;12:25:00;1;2760;7000;6;0;1426;1356;583;554;33
28.09.13;12:20:00;1;2642;7000;6;0;1368;1302;582;553;33
28.09.13;12:15:00;1;2821;6000;6;0;1451;1387;583;554;33
28.09.13;12:10:00;1;2968;6000;6;0;1533;1462;585;556;33
28.09.13;12:05:00;1;2521;6000;6;0;1348;1224;609;575;32
28.09.13;12:00:00;1;2415;6000;6;0;1249;1184;588;555;32
28.09.13;11:55:00;1;2021;6000;6;0;1052;996;585;553;32
28.09.13;11:50:00;1;1986;5000;6;0;1045;999;581;550;32
28.09.13;11:45:00;1;2085;5000;6;0;1103;1050;584;549;32
28.09.13;11:40:00;1;2299;5000;6;0;1192;1134;593;550;32
28.09.13;11:35:00;1;1998;5000;6;0;1038;985;586;549;32
28.09.13;11:30:00;1;2073;5000;6;0;1098;1048;583;551;32
28.09.13;11:25:00;1;2632;5000;6;0;1377;1312;588;555;32
28.09.13;11:20:00;1;2278;4000;6;0;1184;1120;593;555;32
28.09.13;11:15:00;1;1747;4000;6;0;918;868;585;551;32
28.09.13;11:10:00;1;1529;4000;6;0;827;782;584;550;31
28.09.13;11:05:00;1;1415;4000;6;0;759;716;587;550;31
28.09.13;11:00:00;1;1340;4000;6;0;728;690;582;545;31
28.09.13;10:55:00;1;1410;4000;6;0;764;728;576;546;31
28.09.13;10:50:00;1;1918;3000;6;0;1012;961;585;551;32
28.09.13;10:45:00;1;1816;3000;6;0;952;911;586;550;31
28.09.13;10:40:00;1;1616;3000;6;0;860;815;585;547;31
28.09.13;10:35:00;1;1594;3000;6;0;845;806;585;547;31
28.09.13;10:30:00;1;1916;3000;6;0;992;948;589;550;31
28.09.13;10:25:00;1;2002;3000;6;0;1039;988;592;551;31
28.09.13;10:20:00;1;1748;3000;6;0;910;868;587;550;31
28.09.13;10:15:00;1;1686;2000;6;0;872;833;588;549;31
28.09.13;10:10:00;1;1680;2000;6;0;866;826;590;548;31
