#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
05.10.13;19:10:00;1;1;22000;6;0;0;1;263;265;29
05.10.13;19:05:00;1;6;22000;6;0;4;3;267;266;29
05.10.13;19:00:00;1;9;22000;6;0;4;6;315;308;29
05.10.13;18:55:00;1;55;22000;6;0;31;29;482;457;30
05.10.13;18:50:00;1;100;22000;6;0;54;54;507;478;30
05.10.13;18:45:00;1;132;22000;6;0;72;69;520;489;30
05.10.13;18:40:00;1;181;22000;6;0;101;93;534;500;30
05.10.13;18:35:00;1;279;22000;6;0;152;143;548;515;30
05.10.13;18:30:00;1;410;22000;6;0;224;210;559;528;30
05.10.13;18:25:00;1;554;22000;6;0;301;286;566;532;31
05.10.13;18:20:00;1;716;22000;6;0;391;367;571;537;31
05.10.13;18:15:00;1;918;22000;6;0;500;465;579;544;31
05.10.13;18:10:00;1;1132;22000;6;0;622;573;579;549;31
05.10.13;18:05:00;1;1380;22000;6;0;757;691;582;549;32
05.10.13;18:00:00;1;1385;22000;6;0;746;681;583;550;32
05.10.13;17:55:00;1;1310;21000;6;0;716;659;580;548;32
05.10.13;17:50:00;1;1264;21000;6;0;697;641;577;543;32
05.10.13;17:45:00;1;1624;21000;6;0;886;822;572;538;33
05.10.13;17:40:00;1;3271;21000;6;0;1685;1646;552;538;33
05.10.13;17:35:00;1;2350;21000;6;0;1221;1191;553;537;33
05.10.13;17:30:00;1;3930;21000;6;0;1985;2026;549;546;34
05.10.13;17:25:00;1;5521;20000;6;0;2788;2856;555;558;33
05.10.13;17:20:00;1;5305;20000;6;0;2667;2743;560;565;33
05.10.13;17:15:00;1;1832;19000;6;0;966;908;587;555;31
05.10.13;17:10:00;1;1516;19000;6;0;801;744;585;552;31
05.10.13;17:05:00;1;1489;19000;6;0;799;738;585;554;31
05.10.13;17:00:00;1;1662;19000;6;0;878;812;588;557;31
05.10.13;16:55:00;1;1656;19000;6;0;871;802;589;557;31
05.10.13;16:50:00;1;1588;19000;6;0;834;773;589;556;31
05.10.13;16:45:00;1;1456;19000;6;0;770;708;587;554;31
05.10.13;16:40:00;1;1366;18000;6;0;727;668;586;553;31
05.10.13;16:35:00;1;1272;18000;6;0;679;624;584;551;31
05.10.13;16:30:00;1;1245;18000;6;0;677;626;583;551;32
05.10.13;16:25:00;1;1269;18000;6;0;683;640;582;551;32
05.10.13;16:20:00;1;1290;18000;6;0;697;653;583;552;32
05.10.13;16:15:00;1;1360;18000;6;0;733;691;583;552;32
05.10.13;16:10:00;1;1266;18000;6;0;693;647;577;548;32
05.10.13;16:05:00;1;1249;18000;6;0;679;643;577;548;33
05.10.13;16:00:00;1;1240;18000;6;0;668;645;578;547;33
05.10.13;15:55:00;1;1585;17000;6;0;841;821;577;550;33
05.10.13;15:50:00;1;3551;17000;6;0;1793;1841;557;559;34
05.10.13;15:45:00;1;3635;17000;6;0;1854;1883;566;559;35
05.10.13;15:40:00;1;3110;17000;6;0;1597;1575;581;558;34
05.10.13;15:35:00;1;2529;16000;6;0;1321;1264;584;553;34
05.10.13;15:30:00;1;2542;16000;6;0;1314;1291;583;547;35
05.10.13;15:25:00;1;3398;16000;6;0;1736;1744;575;546;35
05.10.13;15:20:00;1;6522;16000;6;0;3273;3457;568;562;36
05.10.13;15:15:00;1;4252;15000;6;0;2172;2150;586;558;34
05.10.13;15:10:00;1;5129;15000;6;0;2582;2645;581;558;36
05.10.13;15:05:00;1;4239;14000;6;0;2180;2209;591;576;34
05.10.13;15:00:00;1;2342;14000;6;0;1229;1173;581;553;33
05.10.13;14:55:00;1;1774;14000;6;0;938;920;568;546;33
05.10.13;14:50:00;1;1871;14000;6;0;1013;961;575;542;33
05.10.13;14:45:00;1;2596;13000;6;0;1361;1293;581;544;33
05.10.13;14:40:00;1;3092;13000;6;0;1613;1558;581;548;33
05.10.13;14:35:00;1;2622;13000;6;0;1354;1324;576;542;33
05.10.13;14:30:00;1;2395;13000;6;0;1249;1232;572;545;33
05.10.13;14:25:00;1;3074;13000;6;0;1588;1533;579;554;33
05.10.13;14:20:00;1;1857;12000;6;0;992;920;580;544;33
05.10.13;14:15:00;1;1602;12000;6;0;862;822;574;540;33
05.10.13;14:10:00;1;1592;12000;6;0;866;812;571;538;34
05.10.13;14:05:00;1;3339;12000;6;0;1753;1661;582;553;35
05.10.13;14:00:00;1;2903;12000;6;0;1511;1450;579;551;34
05.10.13;13:55:00;1;2297;11000;6;0;1214;1149;578;546;34
05.10.13;13:50:00;1;2357;11000;6;0;1244;1190;573;547;35
05.10.13;13:45:00;1;1771;11000;6;0;973;895;572;540;35
05.10.13;13:40:00;1;2046;11000;6;0;1108;1049;567;536;36
05.10.13;13:35:00;1;2680;11000;6;0;1415;1341;566;533;37
05.10.13;13:30:00;1;5635;10000;6;0;2904;2854;563;539;38
05.10.13;13:25:00;1;2352;10000;6;0;1231;1177;558;523;37
05.10.13;13:20:00;1;7791;10000;6;0;4011;3953;549;532;41
05.10.13;13:15:00;1;6298;9000;6;0;3255;3205;549;529;39
05.10.13;13:10:00;1;7057;9000;6;0;3647;3557;547;526;40
05.10.13;13:05:00;1;10420;8000;6;0;5472;5267;573;559;40
05.10.13;13:00:00;1;9270;7000;6;0;4797;4658;572;558;37
05.10.13;12:55:00;1;5512;6000;6;0;2825;2751;584;554;33
05.10.13;12:50:00;1;2970;6000;6;0;1541;1505;579;551;32
05.10.13;12:45:00;1;2407;6000;6;0;1271;1190;584;552;32
05.10.13;12:40:00;1;2914;5000;6;0;1525;1424;589;557;32
05.10.13;12:35:00;1;3384;5000;6;0;1760;1676;589;557;31
05.10.13;12:30:00;1;1170;5000;6;0;640;595;573;541;31
05.10.13;12:25:00;1;1100;5000;6;0;600;564;571;534;31
05.10.13;12:20:00;1;1487;5000;6;0;807;766;574;536;32
05.10.13;12:15:00;1;1861;5000;6;0;1007;953;576;536;32
05.10.13;12:10:00;1;3520;4000;6;0;1844;1773;575;542;33
05.10.13;12:05:00;1;4701;4000;6;0;2480;2360;596;567;33
05.10.13;12:00:00;1;6653;4000;6;0;3431;3327;580;557;34
05.10.13;11:55:00;1;4158;3000;6;0;2148;2087;592;560;30
05.10.13;11:50:00;1;2226;3000;6;0;1148;1108;586;557;30
05.10.13;11:45:00;1;1956;3000;6;0;1025;960;590;557;30
05.10.13;11:40:00;1;2118;2000;6;0;1106;1040;595;559;29
05.10.13;11:35:00;1;1843;2000;6;0;956;908;591;555;29
05.10.13;11:30:00;1;2021;2000;6;0;1051;997;594;557;29
05.10.13;11:25:00;1;1442;2000;6;0;756;718;588;553;28
05.10.13;11:20:00;1;1159;2000;6;0;630;587;584;551;28
05.10.13;11:15:00;1;1060;2000;6;0;575;541;581;546;28
05.10.13;11:10:00;1;916;2000;6;0;492;470;579;543;28
