#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
27.09.13;19:25:00;1;2;49000;6;0;1;2;271;282;31
27.09.13;19:20:00;1;8;49000;6;0;4;4;291;288;32
27.09.13;19:15:00;1;12;49000;6;0;6;7;287;283;32
27.09.13;19:10:00;1;35;49000;6;0;19;19;396;381;32
27.09.13;19:05:00;1;82;49000;6;0;46;43;492;469;32
27.09.13;19:00:00;1;147;49000;6;0;80;75;511;481;32
27.09.13;18:55:00;1;218;49000;6;0;120;110;527;484;32
27.09.13;18:50:00;1;282;49000;6;0;155;142;536;494;32
27.09.13;18:45:00;1;362;49000;6;0;201;182;541;508;33
27.09.13;18:40:00;1;456;49000;6;0;252;229;542;513;33
27.09.13;18:35:00;1;531;48000;6;0;293;268;540;509;33
27.09.13;18:30:00;1;636;48000;6;0;355;318;545;506;33
27.09.13;18:25:00;1;858;48000;6;0;470;437;544;510;34
27.09.13;18:20:00;1;1296;48000;6;0;694;677;522;515;34
27.09.13;18:15:00;1;1807;48000;6;0;956;929;521;519;34
27.09.13;18:10:00;1;1385;48000;6;0;751;710;549;517;34
27.09.13;18:05:00;1;1189;48000;6;0;655;604;569;521;34
27.09.13;18:00:00;1;1314;48000;6;0;718;673;547;508;35
27.09.13;17:55:00;1;1360;48000;6;0;738;701;548;507;35
27.09.13;17:50:00;1;1334;48000;6;0;724;687;553;508;35
27.09.13;17:45:00;1;1191;47000;6;0;657;603;560;531;35
27.09.13;17:40:00;1;1240;47000;6;0;682;630;561;533;36
27.09.13;17:35:00;1;1248;47000;6;0;699;621;561;533;36
27.09.13;17:30:00;1;1287;47000;6;0;707;655;557;531;36
27.09.13;17:25:00;1;1638;47000;6;0;876;843;547;535;37
27.09.13;17:20:00;1;1856;47000;6;0;984;957;546;535;37
27.09.13;17:15:00;1;3308;47000;6;0;1695;1707;536;546;38
27.09.13;17:10:00;1;3466;46000;6;0;1775;1785;551;547;38
27.09.13;17:05:00;1;2424;46000;6;0;1274;1216;560;538;38
27.09.13;17:00:00;1;1755;46000;6;0;939;893;554;531;39
27.09.13;16:55:00;1;1936;46000;6;0;1027;993;549;534;39
27.09.13;16:50:00;1;3492;46000;6;0;1784;1803;532;532;41
27.09.13;16:45:00;1;3940;45000;6;0;2001;2014;519;525;42
27.09.13;16:40:00;1;8107;45000;6;0;4067;4149;515;526;44
27.09.13;16:35:00;1;8925;44000;6;0;4492;4565;522;531;44
27.09.13;16:30:00;1;9002;44000;6;0;4560;4628;534;543;42
27.09.13;16:25:00;1;4037;43000;6;0;2071;2081;562;550;38
27.09.13;16:20:00;1;2089;42000;6;0;1109;1059;569;542;38
27.09.13;16:15:00;1;2306;42000;6;0;1234;1168;564;542;39
27.09.13;16:10:00;1;2902;42000;6;0;1517;1490;556;536;40
27.09.13;16:05:00;1;6188;42000;6;0;3158;3205;549;546;40
