#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
04.10.13;19:10:00;1;1;25000;6;0;1;1;251;251;29
04.10.13;19:05:00;1;4;25000;6;0;2;3;251;251;30
04.10.13;19:00:00;1;6;25000;6;0;3;4;305;288;30
04.10.13;18:55:00;1;13;25000;6;0;7;8;400;339;30
04.10.13;18:50:00;1;27;25000;6;0;15;14;434;328;30
04.10.13;18:45:00;1;47;25000;6;0;26;25;467;360;30
04.10.13;18:40:00;1;112;25000;6;0;60;59;510;478;31
04.10.13;18:35:00;1;246;25000;6;0;132;125;537;507;31
04.10.13;18:30:00;1;433;25000;6;0;234;219;549;521;31
04.10.13;18:25:00;1;622;25000;6;0;339;317;563;530;31
04.10.13;18:20:00;1;738;25000;6;0;401;372;563;530;32
04.10.13;18:15:00;1;769;25000;6;0;421;393;557;523;32
04.10.13;18:10:00;1;756;25000;6;0;414;386;566;532;32
04.10.13;18:05:00;1;816;25000;6;0;447;417;573;536;32
04.10.13;18:00:00;1;1103;25000;6;0;601;566;555;526;33
04.10.13;17:55:00;1;975;25000;6;0;539;493;568;535;33
04.10.13;17:50:00;1;1259;24000;6;0;693;640;571;540;33
04.10.13;17:45:00;1;1390;24000;6;0;760;712;571;535;34
04.10.13;17:40:00;1;1238;24000;6;0;671;639;571;539;34
04.10.13;17:35:00;1;1319;24000;6;0;712;683;567;541;34
04.10.13;17:30:00;1;1334;24000;6;0;716;695;557;534;35
04.10.13;17:25:00;1;2383;24000;6;0;1206;1242;534;546;36
04.10.13;17:20:00;1;2223;24000;6;0;1131;1150;548;545;36
04.10.13;17:15:00;1;1227;23000;6;0;668;631;565;534;36
04.10.13;17:10:00;1;1291;23000;6;0;702;660;561;532;37
04.10.13;17:05:00;1;1198;23000;6;0;649;619;546;525;38
04.10.13;17:00:00;1;1121;23000;6;0;608;579;533;513;39
04.10.13;16:55:00;1;6064;23000;6;0;3031;3128;513;526;42
04.10.13;16:50:00;1;7557;23000;6;0;3777;3885;523;530;43
04.10.13;16:45:00;1;7947;22000;6;0;4005;4071;533;535;42
04.10.13;16:40:00;1;5720;21000;6;0;2867;2940;534;536;40
04.10.13;16:35:00;1;4472;21000;6;0;2244;2266;536;532;41
04.10.13;16:30:00;1;4600;20000;6;0;2308;2336;528;528;41
04.10.13;16:25:00;1;5303;20000;6;0;2667;2713;521;524;42
04.10.13;16:20:00;1;7759;20000;6;0;3889;3984;534;526;44
04.10.13;16:15:00;1;5571;19000;6;0;2803;2876;522;521;43
04.10.13;16:10:00;1;8497;18000;6;0;4267;4376;523;521;44
04.10.13;16:05:00;1;8680;18000;6;0;4365;4455;517;520;45
04.10.13;16:00:00;1;8986;17000;6;0;4515;4637;508;518;44
